Fecha,Hora,Lectura_RAW,Voltaje_V
2025-12-02,22:10:15,3485,2.808
2025-12-02,22:10:25,3798,3.061
2025-12-02,22:10:35,3818,3.077
2025-12-02,22:10:45,3799,3.061
2025-12-02,22:10:55,3797,3.060
2025-12-02,22:11:05,3805,3.066
2025-12-02,22:11:15,3197,2.576
2025-12-02,22:11:18,3199,2.578
2025-12-02,22:11:19,3203,2.581
2025-12-02,22:11:20,3194,2.574
2025-12-02,22:11:21,3192,2.572
2025-12-02,22:11:22,3194,2.574
2025-12-02,22:11:23,3095,2.494
2025-12-02,22:11:24,2939,2.368
2025-12-02,22:11:25,2806,2.261
2025-12-02,22:11:26,2660,2.144
2025-12-02,22:11:27,2511,2.024
2025-12-02,22:11:28,2512,2.024
2025-12-02,22:11:29,2511,2.024
2025-12-02,22:11:30,2508,2.021
2025-12-02,22:11:31,2505,2.019
2025-12-02,22:11:32,2511,2.024
2025-12-02,22:11:33,2509,2.022
2025-12-02,22:11:34,2512,2.024
2025-12-02,22:11:35,2507,2.020
2025-12-02,22:11:36,2507,2.020
2025-12-02,22:11:38,2508,2.021
2025-12-02,22:11:39,2506,2.019
2025-12-02,22:11:40,2510,2.023
2025-12-02,22:11:41,2507,2.020
2025-12-02,22:11:42,2510,2.023
2025-12-02,22:11:43,2506,2.019
2025-12-02,22:12:45,2506,2.019
2025-12-02,22:12:46,2507,2.020
2025-12-02,22:12:47,2509,2.022
2025-12-02,22:12:48,2506,2.019
2025-12-02,22:12:49,2508,2.021
2025-12-02,22:12:50,2511,2.024
2025-12-02,22:12:51,2501,2.015
2025-12-02,22:12:52,2631,2.120
2025-12-02,22:12:53,2704,2.179
2025-12-02,22:12:55,2703,2.178
2025-12-02,22:12:56,2703,2.178
2025-12-02,22:12:57,2704,2.179
2025-12-02,22:12:58,2699,2.175
2025-12-02,22:12:59,2700,2.176
2025-12-02,22:13:00,2703,2.178
2025-12-02,22:13:01,2702,2.177
2025-12-02,22:13:02,2540,2.047
2025-12-02,22:13:03,2354,1.897
2025-12-02,22:13:04,2368,1.908
2025-12-02,22:13:05,2353,1.896
2025-12-02,22:13:06,2354,1.897
2025-12-02,22:13:07,2356,1.899
2025-12-02,22:13:08,2351,1.895
2025-12-02,22:13:09,2354,1.897
2025-12-02,22:13:10,2352,1.895
2025-12-02,22:13:11,2352,1.895
2025-12-02,22:13:12,2353,1.896
2025-12-02,22:13:13,2353,1.896
2025-12-02,22:13:14,2194,1.768
2025-12-02,22:13:15,2192,1.766
2025-12-03,15:09:23,2584,2.082
2025-12-03,15:09:24,2559,2.062
2025-12-03,15:09:26,1705,1.374
2025-12-03,15:09:27,2324,1.873
2025-12-03,15:09:28,2215,1.785
2025-12-03,15:09:29,3712,2.991
2025-12-03,15:09:30,4095,3.300
2025-12-03,15:09:31,0,0.000
2025-12-03,15:09:32,4095,3.300
2025-12-03,15:09:33,3200,2.579
2025-12-03,15:09:34,4095,3.300
2025-12-03,15:09:35,2059,1.659
2025-12-03,15:09:36,0,0.000
2025-12-03,15:09:37,4095,3.300
2025-12-03,15:09:38,0,0.000
2025-12-03,15:09:39,0,0.000
2025-12-03,15:09:40,16,0.013
2025-12-03,15:09:41,0,0.000
2025-12-03,15:09:42,1785,1.438
2025-12-03,15:09:43,0,0.000
2025-12-03,15:09:44,4095,3.300
2025-12-03,15:09:45,4095,3.300
2025-12-03,15:09:46,2803,2.259
2025-12-03,15:09:47,0,0.000
2025-12-03,15:09:48,4095,3.300
2025-12-03,15:09:49,3201,2.580
2025-12-03,15:09:50,2789,2.248
2025-12-03,15:09:51,3113,2.509
2025-12-03,15:09:52,2519,2.030
2025-12-03,15:09:53,2074,1.671
